BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version-3.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/15/2023 03:50:04:573 +0530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,12,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
p_fresh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
p_repeat,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,
connection-plot?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
p_seasoned,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
f_n,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
separation-plot?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
f_c,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
num-teams,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
p_new,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
num-people,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
[reporter],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,
[final],2.032726974,2.033457224,2.030799784,2.028397481,2.034575263,2.031937705,2.039898537,2.030186772,2.03376779,2.040747978,2.036071017,2.0330644,2.032777336,2.032485236,2.033937343,2.029920126,2.031656842,2.033103011,2.030844524,2.030589942,2.034056533,2.03299725,2.027709229,2.033034182,2.035676385,2.031875854,2.034360384,2.03398099,2.026245371,2.029827795,
[min],2.032726974,2.033457224,2.030799784,2.028397481,1.75862069,2.031937705,2,2,2.03376779,2,2.036071017,2,1.906976744,1.878787879,2,2.029920126,2,2.033103011,2.030844524,2.030589942,2.034056533,1.481481481,2,1.979591837,2,2.031875854,1.820512821,2.03398099,2.026245371,2,
[max],3.653024911,3.630188679,3.159758855,3.348780488,3.442307692,3.267015707,3.738853503,3.594488189,3.560498221,3.22095672,3.569498069,3.274033149,2.965578111,3.609195402,3.607709751,3.202433628,3.085852479,3.264150943,4.052132701,3.238095238,3.161290323,3.384120172,3.183066362,3.731316726,3.797348485,3.821070234,3.305747126,3.598712446,3.35042735,3.15,
[mean],2.330106432,2.363024259,2.311829626,2.347977395,2.303012017,2.351852661,2.374775835,2.333028946,2.301297725,2.332442526,2.343269586,2.319957447,2.29399759,2.335888791,2.363759275,2.308317838,2.296157689,2.337451058,2.368481646,2.329894778,2.316875924,2.311944315,2.323376943,2.326240183,2.377143813,2.359318973,2.302630998,2.365369307,2.329271789,2.310948544,
[steps],40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,2.047619048,2.428571429,2.285714286,2.285714286,2,2.428571429,2,2,2.285714286,2,2.285714286,2,2.047619048,2.047619048,2,2.428571429,2,2.428571429,2.428571429,2.428571429,2.047619048,2,2,2.285714286,2,2.428571429,2.428571429,2.428571429,2.047619048,2,2.184126984
,2.220338983,2.75,2.465517241,2.508474576,1.75862069,2.357142857,2.333333333,2.4,2.385964912,2.608695652,2.224489796,2.740740741,1.906976744,1.878787879,3.285714286,2.338983051,2.224489796,2.5,2.711864407,2.56,2.441176471,1.481481481,2.558823529,1.979591837,2.775862069,2.387755102,1.820512821,3.081632653,2.355932203,2.306122449,2.378300852
,2.989583333,2.862857143,2.248062016,3.166666667,2.394230769,3.267015707,3.738853503,3.594488189,2.326732673,3.047169811,2.323809524,3.017045455,2.347826087,3.609195402,3.165803109,2.5859375,2.24,3.264150943,4.052132701,2.716312057,3.007042254,3.140625,2.947674419,2.639751553,3.647058824,2.572580645,2.117021277,2.483870968,3.35042735,2.609375,2.915776663
,3.653024911,3.630188679,2.6875,3.34261242,3.442307692,3.244851259,3.510683761,3.344045369,3.560498221,3.22095672,3.568396226,3.166287016,2.75477707,3.143552311,3.607709751,2.890532544,2.692556634,3.187145558,3.202099738,2.960880196,3.161290323,3.384120172,3.183066362,3.731316726,3.797348485,3.821070234,3.099514563,3.598712446,3.238955823,3.15,3.29920004
,3.117718447,3.488888889,3.076142132,3.348780488,2.90461997,3.246464646,3.549778761,2.961636829,3.207870838,3.100578035,3.569498069,3.274033149,2.755593804,3.03943662,3.338495575,3.202433628,3.085852479,3.161603888,3.189550425,3.238095238,2.803234501,3.138427464,3.087697929,3.143021915,3.004048583,3.457909343,3.305747126,3.081659973,2.9963548,3.096938776,3.165737077
,2.95137881,2.97532656,3.159758855,2.89374529,2.987490227,3.140977444,3.096313017,2.810211946,2.671288744,2.960841189,3.254688445,2.822335025,2.965578111,3.200649351,2.864559819,2.854347826,3.026156942,2.952104499,2.978970268,2.975757576,2.724838412,3.088235294,2.96630094,3.026936027,3.101960784,3.175859831,3.210526316,3.207096307,2.992857143,3.011173184,3.001608806
,2.673323093,2.857218403,2.758055707,2.732386674,2.835209826,2.653005464,3.140803173,2.75423266,2.666120219,2.678668849,2.923563998,2.742788462,2.887864823,2.818321392,2.769398907,2.872583044,2.843269231,2.712749616,2.814484127,2.831349206,2.710382514,2.769398907,2.690005647,2.711873081,2.77086743,2.792626728,2.805594406,2.965294993,2.753968254,2.755324959,2.789691126
,2.519953052,2.594202899,2.557307201,2.433745207,2.526203664,2.630985915,2.575117371,2.583903421,2.483802217,2.526903974,2.583713851,2.475743349,2.595859213,2.608372457,2.56867047,2.560662526,2.703576865,2.595070423,2.510973085,2.503933747,2.570364238,2.560250391,2.598591549,2.545281583,2.691826359,2.5657277,2.555946792,2.682316119,2.526293996,2.415009042,2.561676956
,2.423765432,2.459177215,2.52839987,2.394736842,2.401230349,2.46009085,2.379097696,2.37012987,2.296842105,2.405261405,2.402848101,2.33322237,2.432129078,2.429730607,2.474858475,2.42957043,2.404262404,2.325341325,2.438140807,2.465712383,2.481986368,2.477265884,2.342324342,2.362970363,2.467889908,2.398896462,2.358168148,2.474050633,2.461075949,2.405387861,2.416152118
,2.326018809,2.388975967,2.314090287,2.421368861,2.475995914,2.400448054,2.372093023,2.332798717,2.183950617,2.307986871,2.308618331,2.320224719,2.380300958,2.352579524,2.341450068,2.242551911,2.382785352,2.252257182,2.308663224,2.343086632,2.338230973,2.362068966,2.308683473,2.334135258,2.460553814,2.37800418,2.260946224,2.352846832,2.343758353,2.350835946,2.341543635
,2.184168383,2.282236842,2.242553191,2.298737728,2.335087719,2.276075023,2.236730123,2.2270189,2.172744273,2.259868421,2.210224558,2.225657895,2.282772821,2.192145863,2.232117812,2.224662549,2.188246536,2.189887898,2.319298246,2.239831697,2.307214525,2.219736842,2.219011225,2.20806271,2.301546392,2.244120941,2.206356625,2.256234271,2.25106383,2.276096491,2.243650344
,2.152079208,2.134851485,2.166336634,2.087199313,2.204426325,2.247136478,2.156435644,2.133663366,2.166464646,2.226848394,2.223564356,2.116161616,2.226930693,2.141386139,2.207128713,2.138383838,2.15811173,2.152475248,2.212385944,2.193131313,2.221603793,2.148126577,2.191313131,2.148316832,2.131717172,2.192080716,2.14950495,2.179009901,2.165940594,2.132121212,2.170161199
,2.196713541,2.166087231,2.266573513,2.137281068,2.218289086,2.187387387,2.213786679,2.138513514,2.163610039,2.177395577,2.212231353,2.169265367,2.200379267,2.16521879,2.181731985,2.218289086,2.183319433,2.167703898,2.175164871,2.175997426,2.151756359,2.154118404,2.18484556,2.237070938,2.192245817,2.221364221,2.165438165,2.201011378,2.168386568,2.153316953,2.184816449
,2.203118752,2.190734218,2.304010827,2.171279086,2.267466567,2.198924731,2.200453152,2.211119853,2.21754524,2.215011516,2.203645424,2.150451613,2.216888889,2.26724364,2.255968004,2.156326199,2.267324094,2.25384127,2.223971101,2.151805944,2.288268762,2.18552381,2.25483871,2.147270018,2.206584033,2.303395669,2.224129032,2.293307087,2.193810648,2.282214723,2.223549087
,2.290882166,2.328335528,2.26358044,2.268677544,2.237082067,2.243874466,2.229239395,2.209986248,2.16515587,2.203433573,2.235692373,2.156409977,2.261182358,2.281826713,2.277608916,2.194880174,2.276942894,2.228498889,2.23604498,2.219372328,2.270813498,2.188927119,2.247857823,2.204933196,2.2995889,2.263937374,2.234751773,2.20943516,2.171943759,2.273902617,2.239159937
,2.261676542,2.204225991,2.245468804,2.249249514,2.27513733,2.316129032,2.232521186,2.292082111,2.244475019,2.247821541,2.256769374,2.174756389,2.254444057,2.321379429,2.266048565,2.152437223,2.266167871,2.23660107,2.258699711,2.250945992,2.255751133,2.212980132,2.231662224,2.265565875,2.34088787,2.276487788,2.232229581,2.287306242,2.21458613,2.208053691,2.251084914
,2.299472484,2.233223804,2.25890771,2.364009746,2.218765973,2.339575357,2.277014043,2.273676524,2.290272593,2.296800826,2.301218239,2.263328764,2.270536692,2.278521733,2.286548411,2.263173454,2.252697709,2.272263691,2.268499826,2.345167653,2.277902027,2.31426304,2.308953522,2.349957735,2.250411492,2.246267554,2.227124908,2.246221842,2.32966727,2.21752632,2.280732365
,2.316768215,2.255970724,2.274177529,2.316701581,2.208333333,2.316039152,2.280417434,2.282866756,2.216262536,2.378490362,2.291744258,2.303575671,2.271122961,2.27239256,2.281342966,2.249326765,2.284543762,2.291569895,2.257790192,2.290999379,2.256459087,2.294599628,2.300232252,2.265503389,2.238749438,2.299738935,2.296885435,2.216089864,2.33304272,2.30092081,2.28142192
,2.293177893,2.257731959,2.283097855,2.288104491,2.245023723,2.276162949,2.279777954,2.295538831,2.25,2.311710283,2.308157719,2.284007402,2.289997244,2.295215437,2.239492466,2.253209897,2.293253566,2.256556808,2.232038887,2.298197452,2.280429095,2.271588946,2.288142911,2.289399947,2.319675563,2.308686552,2.269964211,2.284113138,2.256357928,2.30901401,2.280260837
,2.312919897,2.269141328,2.223930512,2.360664915,2.273995261,2.252893466,2.302356193,2.276055067,2.254229781,2.299612403,2.332988803,2.288929841,2.382569007,2.280975781,2.245441415,2.334231689,2.316830846,2.289719626,2.2492692,2.289111063,2.340654608,2.289099526,2.305368398,2.305740101,2.316408269,2.321439141,2.332730405,2.281070068,2.265192401,2.29948709,2.296435203
,2.314566285,2.276496492,2.322369395,2.39183294,2.376201113,2.297971461,2.361096337,2.309183488,2.290524926,2.338863661,2.328333865,2.335443038,2.337295037,2.306445105,2.314238718,2.316386046,2.316384782,2.327875947,2.258819062,2.278981621,2.33941994,2.301873414,2.300947166,2.33250703,2.340523142,2.325142715,2.335644327,2.342408943,2.276840268,2.313775694,2.320279732
,2.292835184,2.286910245,2.28847481,2.314491422,2.345870002,2.293566176,2.345251225,2.300919118,2.324284378,2.310741964,2.295993434,2.280414553,2.290316509,2.324485733,2.279821255,2.287077351,2.311693754,2.272977941,2.251450798,2.290257353,2.310381029,2.282015931,2.271816258,2.323426186,2.355119163,2.335877636,2.292041586,2.270975974,2.291777188,2.342432133,2.30212321
,2.318593232,2.331748856,2.356309898,2.323870867,2.363897933,2.272193091,2.35337205,2.348957804,2.342179786,2.329431179,2.243897772,2.301614887,2.319815668,2.349564772,2.298161471,2.306489715,2.357341553,2.284927536,2.328520225,2.315257471,2.293120017,2.282616893,2.355821408,2.33013935,2.347823861,2.333274021,2.333594935,2.313843981,2.325483961,2.334106908,2.323199037
,2.311520556,2.311913973,2.301860465,2.283692784,2.270454086,2.301859987,2.310554223,2.32166509,2.300104791,2.34076454,2.318538206,2.31786043,2.336142219,2.307608244,2.260287929,2.31513058,2.292832933,2.287298409,2.320310078,2.271705686,2.282780763,2.313764039,2.289690467,2.303046267,2.311170569,2.265060515,2.291326644,2.320638821,2.316875109,2.295799155,2.302408585
,2.295845998,2.30234206,2.299159981,2.283608737,2.284497477,2.277948699,2.303451433,2.319346887,2.278100992,2.29075543,2.319631008,2.288627286,2.371815419,2.308936912,2.28378832,2.301670769,2.284976258,2.344465806,2.284582548,2.321828149,2.315423679,2.294799434,2.329578131,2.307565424,2.302133114,2.278548402,2.274502126,2.327236467,2.308541609,2.312374133,2.303202756
,2.284636093,2.264973405,2.300142403,2.30070791,2.266187516,2.245686325,2.286861393,2.286289488,2.281464133,2.275866435,2.273435488,2.277448963,2.341157692,2.271704384,2.269153823,2.296626431,2.296824875,2.284522868,2.318808422,2.294180242,2.275594812,2.315739779,2.271614791,2.294121268,2.272871571,2.273862581,2.26577782,2.294002216,2.301755406,2.274980218,2.285233292
,2.273555502,2.275554654,2.272951226,2.28011407,2.296453805,2.2605612,2.282193306,2.261940564,2.298823311,2.260539056,2.288513559,2.261211293,2.295346173,2.261166812,2.290918585,2.265337382,2.241272046,2.269282013,2.259127988,2.26463713,2.258495829,2.294761082,2.293347774,2.303275987,2.249942803,2.260003007,2.277952985,2.308589298,2.269588745,2.243006922,2.273948804
,2.238547319,2.249512212,2.243140679,2.24940048,2.28428361,2.233083057,2.224770043,2.237175741,2.231769541,2.264549899,2.267725976,2.243070834,2.258518441,2.223761641,2.262797454,2.228030964,2.232036121,2.253802393,2.246973366,2.251381086,2.26074896,2.263651708,2.230376831,2.257360424,2.234443687,2.255395305,2.262221965,2.249441462,2.232010626,2.246819161,2.247226699
,2.245217118,2.230856432,2.227517226,2.236132096,2.213078247,2.227694602,2.219808645,2.242811185,2.234288542,2.235445323,2.232335224,2.227460978,2.227089326,2.25514589,2.232585994,2.216439916,2.225421461,2.243666974,2.238450658,2.245785227,2.227248091,2.240999043,2.203529482,2.244316334,2.247071405,2.233080921,2.247814733,2.244858339,2.211569997,2.258832225,2.233885054
,2.226041693,2.233211212,2.237096432,2.226819107,2.227374968,2.22588114,2.22194264,2.229959105,2.223234605,2.203394761,2.210983514,2.238117279,2.238615248,2.245865761,2.221754471,2.20339834,2.205072034,2.223356448,2.224748901,2.224046498,2.200475933,2.234332002,2.222940989,2.220355145,2.208169612,2.223722259,2.243028254,2.201472471,2.227461319,2.242425014,2.223843239
,2.191922336,2.220698446,2.200265761,2.207168168,2.209363828,2.206769526,2.203499018,2.205561303,2.212127206,2.203013853,2.209153035,2.204983021,2.208216448,2.207573117,2.211229986,2.196706299,2.205420869,2.208939908,2.201424775,2.200491245,2.182215525,2.212281049,2.211568104,2.20051574,2.2043257,2.200785534,2.208683024,2.199866158,2.199660247,2.20942772,2.204795232
,2.183093873,2.213544216,2.206690517,2.190347078,2.167189233,2.206360424,2.186727264,2.200138078,2.189544598,2.183439779,2.181627876,2.191936942,2.198694935,2.18396886,2.190143532,2.186694678,2.172641687,2.196770555,2.194670143,2.207763761,2.189196679,2.175021965,2.195929859,2.199981171,2.184733732,2.182935848,2.181077813,2.181311353,2.183403602,2.204359111,2.190331305
,2.179327798,2.169653329,2.180279846,2.178554923,2.154902405,2.16954562,2.181963995,2.172806372,2.182657353,2.168404113,2.164670179,2.191788739,2.156373488,2.168234631,2.181407182,2.179944648,2.182416761,2.168627772,2.171638982,2.170717072,2.169632614,2.179227014,2.172518822,2.165826632,2.167615444,2.17061888,2.15283783,2.180252571,2.183180872,2.171758524,2.172912814
,2.160477565,2.160854589,2.16649497,2.155775513,2.160258797,2.153086018,2.165183392,2.155427295,2.159789509,2.152285889,2.146241061,2.151626696,2.146550922,2.154966487,2.159826633,2.168064606,2.153719791,2.16219067,2.144597272,2.14843366,2.150916259,2.156355487,2.156056127,2.145313795,2.147288117,2.158805732,2.148742472,2.159016012,2.161413145,2.161704858,2.155715445
,2.136201722,2.142322143,2.13919595,2.140168364,2.13797147,2.136913229,2.149008704,2.145325596,2.135239362,2.137058244,2.133059317,2.141439286,2.144736368,2.134430314,2.136189702,2.148960348,2.126454707,2.146312258,2.140723727,2.126982592,2.143017418,2.135989358,2.13160864,2.140855484,2.141322509,2.141087709,2.137920672,2.135611677,2.148434714,2.145488518,2.139334337
,2.11803091,2.114137014,2.12150403,2.113814925,2.117583926,2.118646866,2.118144636,2.111968324,2.122881429,2.11912142,2.11220693,2.120065806,2.115001037,2.116792309,2.113101688,2.120555098,2.128132965,2.121044502,2.12498323,2.119462131,2.119165623,2.107433604,2.114923381,2.104197717,2.111733077,2.123982209,2.113897918,2.115692648,2.123334947,2.11833442,2.117329157
,2.105346952,2.104388141,2.096360051,2.101573231,2.100866968,2.0967636,2.106825317,2.093697713,2.104200065,2.10567315,2.099774654,2.101806657,2.106355476,2.106211825,2.099656388,2.105731154,2.099696845,2.099773202,2.110475235,2.101850608,2.110278824,2.101208761,2.097292222,2.102528279,2.10207001,2.101632679,2.102887177,2.102605897,2.099116273,2.102856665,2.102316801
,2.088649262,2.084771953,2.072820142,2.077154131,2.084126727,2.076545248,2.085071335,2.076734926,2.081851431,2.078077598,2.079024352,2.077760293,2.083532164,2.07743579,2.074397523,2.073561017,2.083941409,2.080322557,2.081887466,2.078183676,2.08263646,2.073730892,2.068475905,2.07645404,2.077519619,2.0739191,2.084278585,2.077885108,2.08339575,2.078775665,2.079097337
,2.063476194,2.071321692,2.067731165,2.067332526,2.070103578,2.06686198,2.072767016,2.067023137,2.071368039,2.070838938,2.065828495,2.065549904,2.071758138,2.06948838,2.065677966,2.064624261,2.063001076,2.06455012,2.066695812,2.064595104,2.068735988,2.067265268,2.057082324,2.06808358,2.062037037,2.065064615,2.072186351,2.064745314,2.070859116,2.064637701,2.067043027
,2.040050136,2.047380029,2.044665326,2.045980167,2.048735278,2.042331497,2.042613266,2.045100611,2.04546011,2.047074941,2.045430962,2.041999203,2.042444205,2.040617561,2.044964584,2.038586877,2.041138349,2.04356934,2.039401094,2.040296927,2.041353918,2.042815363,2.0402328,2.040530115,2.044074581,2.040881841,2.045429145,2.045854587,2.041960339,2.044346635,2.043177326
,2.032726974,2.033457224,2.030799784,2.028397481,2.034575263,2.031937705,2.039898537,2.030186772,2.03376779,2.040747978,2.036071017,2.0330644,2.032777336,2.032485236,2.033937343,2.029920126,2.031656842,2.033103011,2.030844524,2.030589942,2.034056533,2.03299725,2.027709229,2.033034182,2.035676385,2.031875854,2.034360384,2.03398099,2.026245371,2.029827795,2.032690309
